Atomic Number,Symbol,Element Name,Notes,Source,Molar (J/mol·K),Specific (J/g·K)
1,H,hydrogen,"H2, gas",use,28.836,14.304
1,H,hydrogen,"H2, gas",CRC,28.836,14.304
1,H,hydrogen,"H2, gas",WEL,28.82,
1,H,hydrogen,"H2, gas",LNG,28.84,
2,He,helium,gas,use,20.786,5.193
2,He,helium,gas,CRC,20.786,5.193
2,He,helium,gas,WEL,20.786,
2,He,helium,gas,LNG,20.786,
3,Li,lithium,,use,24.860,3.582
3,Li,lithium,,CRC,24.860,3.582
3,Li,lithium,,WEL,24.8,
3,Li,lithium,,LNG,24.8,
4,Be,beryllium,,use,16.443,1.825
4,Be,beryllium,,CRC,16.443,1.825
4,Be,beryllium,,WEL,16.4,
4,Be,beryllium,,LNG,16.38,
5,B,boron,rhombic,use,11.087,1.026
5,B,boron,rhombic,CRC,11.087,1.026
5,B,boron,rhombic,WEL,11.1,
5,B,boron,rhombic,LNG,11.1,
6,C,carbon,graphite,use,8.517,0.709
6,C,carbon,graphite,CRC,8.517,0.709
6,C,carbon,graphite,WEL,8.53,
6,C,carbon,graphite,LNG,8.517,
6,C,carbon,"diamond, nonstd state",use,6.115,0.509
6,C,carbon,"diamond, nonstd state",WEL,6.115,
6,C,carbon,"diamond, nonstd state",LNG,6.116,
7,N,nitrogen,"N2, gas",use,29.124,1.040
7,N,nitrogen,"N2, gas",CRC,29.124,1.040
7,N,nitrogen,"N2, gas",WEL,29.12,
7,N,nitrogen,"N2, gas",LNG,29.124,
8,O,oxygen,"O2, gas",use,29.378,0.918
8,O,oxygen,"O2, gas",CRC,29.378,0.918
8,O,oxygen,"O2, gas",WEL,29.4,
8,O,oxygen,"O2, gas",LNG,29.4,
9,F,fluorine,"F2, gas",use,31.304,0.824
9,F,fluorine,"F2, gas",CRC,31.304,0.824
9,F,fluorine,"F2, gas",WEL,31.3,
9,F,fluorine,"F2, gas",LNG,31.30,
10,Ne,neon,gas,use,20.786,1.030
10,Ne,neon,gas,CRC,20.786,1.030
10,Ne,neon,gas,WEL,20.786,
10,Ne,neon,gas,LNG,20.786,
11,Na,sodium,,use,28.230,1.228
11,Na,sodium,,CRC,28.230,1.228
11,Na,sodium,,WEL,28.2,
11,Na,sodium,,LNG,28.15,
12,Mg,magnesium,,use,24.869,1.023
12,Mg,magnesium,,CRC,24.869,1.023
12,Mg,magnesium,,WEL,24.9,
12,Mg,magnesium,,LNG,24.87,
13,Al,aluminium,,use,24.200,0.897
13,Al,aluminium,,CRC,24.200,0.897
13,Al,aluminium,,WEL,24.4,
13,Al,aluminium,,LNG,24.4,
14,Si,silicon,,use,19.789,0.705
14,Si,silicon,,CRC,19.789,0.705
14,Si,silicon,,WEL,20.0,
14,Si,silicon,,LNG,20.00,
15,P,phosphorus,white,use,23.824,0.769
15,P,phosphorus,white,CRC,23.824,0.769
15,P,phosphorus,white,WEL,23.84,
15,P,phosphorus,white,LNG,23.83,
15,P,phosphorus,"red, nonstd state",use,21.19,0.684
15,P,phosphorus,"red, nonstd state",WEL,21.2,
15,P,phosphorus,"red, nonstd state",LNG,21.19,
16,S,sulfur,rhombic,use,22.75,0.710
16,S,sulfur,rhombic,CRC,22.75,0.710
16,S,sulfur,rhombic,WEL,22.6,
16,S,sulfur,rhombic,LNG,22.60,
16,S,sulfur,"monoclinic, nonstd state",use,23.23,0.724
16,S,sulfur,"monoclinic, nonstd state",LNG,23.23,
17,Cl,chlorine,Cl2 gas,use,33.949,0.479
17,Cl,chlorine,Cl2 gas,CRC,33.949,0.479
17,Cl,chlorine,Cl2 gas,WEL,33.91,
17,Cl,chlorine,Cl2 gas,LNG,33.95,
18,Ar,argon,gas,use,20.786,0.520
18,Ar,argon,gas,CRC,20.786,0.520
18,Ar,argon,gas,WEL,20.786,
18,Ar,argon,gas,LNG,20.79,
19,K,potassium,,use,29.600,0.757
19,K,potassium,,CRC,29.600,0.757
19,K,potassium,,WEL,29.6,
19,K,potassium,,LNG,29.60,
20,Ca,calcium,,use,25.929,0.647
20,Ca,calcium,,CRC,25.929,0.647
20,Ca,calcium,,WEL,25.3,
