Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
181.03,1.0,66.7,0.014992,2.245,3.7442,144.41,12.506,20.959,250.29,0.87735,14.611,0.01145,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.2,0.020416288114657875,0.20104272
181.03,2.63,176.57,0.0056635,2.2246,3.7141,136.25,12.563,21.247,249.79,0.87368,14.658,0.011534,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.2,0.053694837741550205,0.07594753500000001
181.03,4.26,287.9,0.0034734,2.204,3.6837,132.13,12.621,21.546,249.3,0.86994,14.708,0.011622,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.2,0.08697338736844254,0.046578294000000006
181.03,5.89,400.73,0.0024954,2.1832,3.653,129.32,12.68,21.854,248.81,0.86611,14.76,0.011713,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.2,0.12025193699533487,0.033463314
181.03,7.52,515.11,0.0019413,2.1621,3.622,127.17,12.739,22.173,248.32,0.8622,14.814,0.011808,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.2,0.1535304866222272,0.026032833000000002
181.03,9.15,631.09,0.0015846,2.1408,3.5907,125.42,12.799,22.502,247.83,0.8582,14.87,0.011905,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.2,0.18680903624911957,0.021249486
181.03,10.78,748.71,0.0013356,2.1192,3.559,123.94,12.861,22.844,247.35,0.8541,14.929,0.012007,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.2,0.22008758587601188,0.017910396000000002
181.03,12.41,868.03,0.001152,2.0974,3.5271,122.65,12.923,23.198,246.87,0.8499,14.99,0.012112,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.2,0.2533661355029042,0.015448320000000001
181.03,14.04,989.1,0.001011,2.0753,3.4948,121.5,12.986,23.565,246.39,0.8456,15.054,0.012221,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.2,0.2866446851297965,0.01355751
181.03,15.67,1112.0,0.0008993,2.0529,3.4621,120.46,13.05,23.945,245.92,0.8412,15.121,0.012335,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.2,0.3199232347566889,0.012059613000000002
