Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
425.85,1.0,28.283,0.035357,23.833,27.369,134.76,33.965,42.347,316.26,0.45807,20.777,0.026822,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.013550135501355014,0.37478419999999996
425.85,3.4583,98.159,0.010188,23.798,27.321,124.36,34.025,42.575,315.71,0.45724,20.812,0.026928,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.046860433604336046,0.10799279999999999
425.85,5.9167,168.53,0.0059336,23.762,27.273,119.81,34.086,42.808,315.17,0.45638,20.847,0.027035,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.0801720867208672,0.06289615999999999
425.85,8.375,239.4,0.0041771,23.727,27.225,116.84,34.147,43.044,314.64,0.45549,20.884,0.027145,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.11348238482384825,0.04427726
425.85,10.833,310.78,0.0032177,23.691,27.177,114.62,34.209,43.283,314.12,0.45458,20.921,0.027255,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.14678861788617886,0.03410762
425.85,13.292,382.66,0.0026133,23.655,27.128,112.83,34.27,43.527,313.6,0.45363,20.96,0.027367,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.18010840108401086,0.027700979999999997
425.85,15.75,455.06,0.0021975,23.619,27.08,111.33,34.332,43.775,313.09,0.45265,21.0,0.027481,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.21341463414634146,0.023293499999999995
425.85,18.208,527.98,0.001894,23.582,27.031,110.04,34.394,44.026,312.59,0.45165,21.04,0.027597,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.24672086720867206,0.020076399999999998
425.85,20.667,601.41,0.0016628,23.546,26.982,108.9,34.456,44.282,312.1,0.4506,21.082,0.027714,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.2800406504065041,0.01762568
425.85,23.125,675.38,0.0014807,23.509,26.933,107.88,34.519,44.542,311.62,0.44953,21.125,0.027833,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.3133468834688347,0.015695419999999998
425.85,25.583,749.87,0.0013336,23.472,26.883,106.96,34.582,44.806,311.14,0.44842,21.169,0.027955,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.3466531165311653,0.01413616
425.85,28.042,824.89,0.0012123,23.435,26.834,106.11,34.645,45.074,310.67,0.44728,21.214,0.028077,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.37997289972899734,0.012850379999999998
425.85,30.5,900.46,0.0011105,23.397,26.784,105.32,34.708,45.346,310.22,0.4461,21.261,0.028202,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.41327913279132794,0.011771299999999998
425.85,32.958,976.57,0.001024,23.36,26.735,104.59,34.771,45.622,309.77,0.44489,21.309,0.028329,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.44658536585365854,0.010854399999999998
425.85,35.417,1053.2,0.00094947,23.322,26.685,103.9,34.835,45.903,309.33,0.44364,21.358,0.028458,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.47990514905149056,0.010064381999999998
425.85,37.875,1130.4,0.00088463,23.284,26.634,103.26,34.899,46.188,308.9,0.44235,21.408,0.02859,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.5132113821138211,0.009377077999999999
425.85,40.333,1208.2,0.00082769,23.246,26.584,102.64,34.963,46.478,308.48,0.44103,21.46,0.028723,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.5465176151761517,0.008773514
425.85,42.792,1286.5,0.00077731,23.207,26.534,102.06,35.027,46.772,308.07,0.43966,21.513,0.028859,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.5798373983739837,0.008239485999999999
425.85,45.25,1365.4,0.0007324,23.169,26.483,101.51,35.091,47.07,307.67,0.43826,21.568,0.028997,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.6131436314363143,0.00776344
425.85,47.708,1444.8,0.00069213,23.13,26.432,100.98,35.155,47.373,307.27,0.43681,21.624,0.029137,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.6464498644986449,0.007336578
425.85,50.167,1524.8,0.00065582,23.091,26.381,100.47,35.22,47.681,306.89,0.43533,21.682,0.02928,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.679769647696477,0.006951692
425.85,52.625,1605.4,0.0006229,23.052,26.33,99.98,35.284,47.992,306.53,0.4338,21.741,0.029425,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.7130758807588076,0.006602739999999999
425.85,55.083,1686.5,0.00059293,23.013,26.279,99.509,35.349,48.309,306.17,0.43223,21.802,0.029573,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.7463821138211382,0.006285058
425.85,57.542,1768.3,0.00056552,22.973,26.227,99.054,35.413,48.63,305.82,0.43062,21.864,0.029724,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.7797018970189702,0.005994512
425.85,60.0,1850.6,0.00054037,22.934,26.176,98.614,35.478,48.955,305.49,0.42896,21.928,0.029877,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.8130081300813008,0.005727921999999999
425.85,62.458,1933.5,0.00051721,22.894,26.124,98.187,35.543,49.285,305.16,0.42726,21.994,0.030033,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.8463143631436314,0.005482426
425.85,64.917,2016.9,0.0004958,22.854,26.072,97.773,35.607,49.62,304.86,0.42551,22.061,0.030191,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.8796341463414634,0.00525548
425.85,67.375,2101.0,0.00047597,22.814,26.02,97.37,35.672,49.959,304.56,0.42372,22.13,0.030353,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.912940379403794,0.005045282
425.85,69.833,2185.6,0.00045754,22.773,25.968,96.979,35.737,50.302,304.27,0.42188,22.201,0.030518,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.9462466124661246,0.004849923999999999
425.85,72.292,2270.8,0.00044037,22.733,25.916,96.597,35.802,50.65,304.0,0.42,22.274,0.030685,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,0.9795663956639566,0.004667922
425.85,74.75,2356.6,0.00042434,22.692,25.864,96.224,35.866,51.003,303.75,0.41807,22.349,0.030856,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.0128726287262872,0.004498004
425.85,74.75,2356.6,0.00042434,22.692,25.864,96.224,35.866,51.003,303.75,0.41807,22.349,0.030856,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.0128726287262872,0.004498004
425.85,74.75,2356.6,0.00042434,22.692,25.864,96.224,35.866,51.003,303.75,0.41807,22.349,0.030856,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.0128726287262872,0.004498004
425.85,77.208,2443.0,0.00040933,22.651,25.811,95.861,35.931,51.36,303.51,0.41609,22.426,0.031029,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.0461788617886179,0.004338898
425.85,79.667,2530.0,0.00039526,22.61,25.759,95.505,35.995,51.721,303.28,0.41406,22.505,0.031206,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.0794986449864499,0.004189755999999999
425.85,82.125,2617.5,0.00038204,22.568,25.706,95.157,36.06,52.087,303.07,0.41199,22.585,0.031386,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.1128048780487805,0.004049624
425.85,84.583,2705.7,0.00036959,22.527,25.653,94.816,36.124,52.457,302.87,0.40987,22.668,0.031569,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.146111111111111,0.003917654
425.85,87.042,2794.4,0.00035786,22.485,25.6,94.482,36.188,52.831,302.69,0.4077,22.753,0.031756,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.179430894308943,0.0037933159999999997
425.85,89.5,2883.7,0.00034678,22.444,25.547,94.154,36.252,53.209,302.53,0.40548,22.84,0.031946,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.2127371273712737,0.0036758679999999997
425.85,91.958,2973.5,0.0003363,22.402,25.494,93.832,36.316,53.591,302.38,0.40321,22.929,0.032139,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.2460433604336043,0.0035647799999999996
425.85,94.417,3064.0,0.00032637,22.36,25.441,93.516,36.379,53.977,302.25,0.4009,23.021,0.032336,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.2793631436314363,0.0034595219999999996
425.85,96.875,3155.0,0.00031696,22.317,25.388,93.206,36.442,54.367,302.14,0.39854,23.114,0.032536,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.312669376693767,0.0033597759999999996
425.85,99.333,3246.6,0.00030802,22.275,25.334,92.9,36.505,54.761,302.04,0.39613,23.21,0.03274,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.3459756097560975,0.003265012
425.85,101.79,3338.7,0.00029952,22.232,25.281,92.599,36.568,55.158,301.97,0.39367,23.309,0.032948,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.379268292682927,0.003174912
425.85,104.25,3431.4,0.00029143,22.19,25.228,92.303,36.631,55.558,301.91,0.39116,23.41,0.033159,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.4126016260162602,0.003089158
425.85,106.71,3524.6,0.00028372,22.147,25.174,92.012,36.693,55.962,301.88,0.38861,23.513,0.033373,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.4459349593495934,0.003007432
425.85,109.17,3618.3,0.00027637,22.104,25.121,91.725,36.755,56.369,301.86,0.38601,23.619,0.033592,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.4792682926829268,0.002929522
425.85,111.63,3712.6,0.00026935,22.061,25.067,91.442,36.816,56.779,301.87,0.38336,23.727,0.033814,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.5126016260162602,0.00285511
425.85,114.08,3807.4,0.00026265,22.017,25.014,91.162,36.877,57.192,301.89,0.38067,23.838,0.034039,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.54579945799458,0.00278409
425.85,116.54,3902.7,0.00025623,21.974,24.96,90.887,36.938,57.607,301.94,0.37793,23.951,0.034269,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.5791327913279134,0.0027160379999999996
425.85,119.0,3998.5,0.00025009,21.931,24.907,90.615,36.998,58.024,302.01,0.37515,24.067,0.034502,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.6124661246612466,0.002650954
425.85,121.46,4094.8,0.00024421,21.887,24.853,90.347,37.058,58.444,302.1,0.37232,24.186,0.034739,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.6457994579945798,0.002588626
425.85,123.92,4191.6,0.00023857,21.843,24.8,90.082,37.117,58.866,302.22,0.36946,24.308,0.03498,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.6791327913279133,0.002528842
425.85,126.38,4288.8,0.00023317,21.8,24.746,89.82,37.176,59.289,302.35,0.36655,24.432,0.035224,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.7124661246612467,0.002471602
425.85,128.83,4386.4,0.00022798,21.756,24.693,89.562,37.234,59.714,302.51,0.3636,24.559,0.035472,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.7456639566395666,0.002416588
425.85,131.29,4484.5,0.00022299,21.712,24.64,89.306,37.292,60.139,302.7,0.36061,24.689,0.035724,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.7789972899728996,0.002363694
425.85,133.75,4583.1,0.00021819,21.668,24.586,89.054,37.349,60.566,302.91,0.35758,24.822,0.03598,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.812330623306233,0.002312814
425.85,136.21,4682.0,0.00021358,21.624,24.533,88.804,37.406,60.993,303.15,0.35452,24.957,0.036239,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.8456639566395665,0.002263948
425.85,138.67,4781.3,0.00020915,21.58,24.48,88.558,37.462,61.421,303.41,0.35142,25.096,0.036502,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.8789972899728997,0.00221699
425.85,141.13,4881.0,0.00020488,21.536,24.427,88.314,37.517,61.848,303.69,0.34828,25.237,0.036769,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.9123306233062332,0.002171728
425.85,143.58,4981.0,0.00020076,21.491,24.374,88.072,37.572,62.276,304.0,0.34511,25.381,0.037039,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.945528455284553,0.0021280559999999997
425.85,146.04,5081.3,0.0001968,21.447,24.321,87.834,37.626,62.702,304.34,0.34191,25.529,0.037312,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,1.978861788617886,0.00208608
425.85,148.5,5182.0,0.00019298,21.403,24.269,87.598,37.68,63.128,304.71,0.33868,25.679,0.037589,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.0121951219512195,0.002045588
425.85,150.96,5282.9,0.00018929,21.359,24.216,87.364,37.732,63.552,305.1,0.33542,25.832,0.03787,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.045528455284553,0.002006474
425.85,153.42,5384.1,0.00018573,21.314,24.164,87.133,37.784,63.975,305.52,0.33214,25.988,0.038154,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.078861788617886,0.001968738
425.85,155.88,5485.5,0.0001823,21.27,24.112,86.904,37.836,64.395,305.97,0.32883,26.148,0.038441,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.1121951219512196,0.00193238
425.85,158.33,5587.2,0.00017898,21.226,24.06,86.678,37.886,64.814,306.45,0.32549,26.31,0.038731,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.1453929539295395,0.0018971879999999997
425.85,160.79,5689.0,0.00017578,21.182,24.008,86.454,37.936,65.229,306.95,0.32213,26.475,0.039025,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.1787262872628728,0.001863268
425.85,163.25,5791.1,0.00017268,21.137,23.956,86.232,37.985,65.642,307.48,0.31875,26.643,0.039321,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.212059620596206,0.001830408
425.85,165.71,5893.2,0.00016969,21.093,23.905,86.013,38.033,66.051,308.04,0.31536,26.815,0.039621,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.2453929539295396,0.001798714
425.85,168.17,5995.5,0.00016679,21.049,23.854,85.796,38.08,66.457,308.63,0.31195,26.989,0.039923,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.2787262872628724,0.0017679739999999998
425.85,170.63,6097.9,0.00016399,21.005,23.803,85.581,38.127,66.858,309.25,0.30852,27.166,0.040228,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.312059620596206,0.001738294
425.85,173.08,6200.3,0.00016128,20.961,23.753,85.369,38.172,67.255,309.9,0.30508,27.346,0.040535,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.345257452574526,0.0017095679999999999
425.85,175.54,6302.8,0.00015866,20.917,23.702,85.158,38.217,67.647,310.58,0.30163,27.529,0.040845,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.378590785907859,0.001681796
425.85,178.0,6405.4,0.00015612,20.873,23.652,84.95,38.261,68.035,311.28,0.29817,27.715,0.041158,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.4119241192411924,0.0016548719999999997
425.85,180.46,6507.9,0.00015366,20.83,23.603,84.744,38.304,68.416,312.02,0.2947,27.904,0.041473,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.445257452574526,0.0016287959999999998
425.85,182.92,6610.3,0.00015128,20.786,23.553,84.54,38.346,68.792,312.78,0.29123,28.096,0.04179,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.4,2.478590785907859,0.0016035679999999999
