Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
170.04,1.0,71.087,0.014067,3.5119,4.9186,188.68,20.849,29.333,248.08,0.73012,12.749,0.015597,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.019829466587348802,0.1913112
170.04,2.365,169.28,0.0059072,3.4922,4.8892,181.41,20.917,29.641,247.25,0.73064,12.782,0.015708,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.04689668847907992,0.08033792
170.04,3.73,268.87,0.0037193,3.4722,4.8595,177.5,20.986,29.961,246.43,0.73111,12.815,0.015821,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.07396391037081103,0.05058248
170.04,5.095,369.88,0.0027036,3.4519,4.8294,174.79,21.056,30.293,245.59,0.73153,12.849,0.015937,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.10103113226254214,0.036768959999999996
170.04,6.46,472.38,0.002117,3.4314,4.799,172.69,21.128,30.637,244.76,0.7319,12.884,0.016055,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.12809835415427326,0.0287912
170.04,7.825,576.41,0.0017349,3.4106,4.7682,170.98,21.201,30.995,243.91,0.73221,12.919,0.016176,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.15516557604600437,0.02359464
170.04,9.19,682.04,0.0014662,3.3896,4.737,169.51,21.276,31.367,243.07,0.73246,12.955,0.0163,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.18223279793773547,0.019940319999999997
170.04,10.555,789.31,0.0012669,3.3682,4.7055,168.23,21.352,31.753,242.22,0.73265,12.992,0.016428,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.20930001982946658,0.01722984
170.04,11.92,898.31,0.0011132,3.3466,4.6735,167.09,21.43,32.156,241.37,0.73278,13.029,0.016558,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.2363672417211977,0.015139519999999998
170.04,13.285,1009.1,0.000991,3.3246,4.6411,166.06,21.509,32.576,240.51,0.73283,13.068,0.016692,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.2634344636129288,0.013477599999999998
170.04,14.65,1121.7,0.00089149,3.3023,4.6083,165.11,21.59,33.014,239.65,0.73281,13.107,0.01683,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.29050168550465993,0.012124264
170.04,16.015,1236.3,0.00080888,3.2797,4.5751,164.24,21.672,33.471,238.78,0.73271,13.148,0.016972,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.31756890739639104,0.011000768
170.04,17.38,1352.8,0.00073919,3.2567,4.5414,163.42,21.756,33.949,237.91,0.73253,13.19,0.017117,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.34463612928812215,0.010052984000000001
170.04,18.745,1471.5,0.00067958,3.2333,4.5072,162.65,21.842,34.448,237.04,0.73226,13.233,0.017268,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.37170335117985326,0.009242288
170.04,20.11,1592.3,0.00062801,3.2096,4.4725,161.92,21.93,34.971,236.17,0.7319,13.278,0.017423,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.39877057307158437,0.008540936
170.04,21.475,1715.4,0.00058294,3.1854,4.4373,161.23,22.02,35.519,235.29,0.73144,13.324,0.017584,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.42583779496331553,0.007927983999999999
170.04,22.84,1840.9,0.0005432,3.1609,4.4016,160.56,22.112,36.093,234.41,0.73087,13.372,0.01775,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.4529050168550466,0.00738752
170.04,24.205,1968.9,0.00050789,3.1359,4.3653,159.93,22.205,36.697,233.53,0.73019,13.422,0.017922,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.4799722387467777,0.0069073039999999995
170.04,25.57,2099.5,0.0004763,3.1105,4.3284,159.32,22.301,37.331,232.64,0.72939,13.474,0.0181,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.5070394606385088,0.0064776799999999995
170.04,26.935,2232.8,0.00044786,3.0846,4.2909,158.73,22.399,37.998,231.76,0.72846,13.528,0.018285,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.53410668253024,0.006090896
170.04,28.3,2369.0,0.00042211,3.0583,4.2528,158.15,22.499,38.702,230.87,0.7274,13.584,0.018477,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.561173904421971,0.005740696
170.04,29.665,2508.2,0.00039869,3.0314,4.2141,157.6,22.602,39.444,229.98,0.72619,13.643,0.018677,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.5882411263137022,0.005422184
170.04,31.03,2650.6,0.00037727,3.0039,4.1746,157.05,22.707,40.229,229.08,0.72482,13.705,0.018885,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.6153083482054333,0.005130872
170.04,32.395,2796.3,0.00035762,2.976,4.1345,156.52,22.815,41.059,228.19,0.72329,13.77,0.019102,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.6423755700971645,0.004863632
170.04,33.76,2945.5,0.0003395,2.9474,4.0935,156.0,22.926,41.938,227.3,0.72157,13.838,0.019329,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.6694427919888954,0.0046172
170.04,35.125,3098.4,0.00032274,2.9182,4.0518,155.49,23.039,42.872,226.41,0.71967,13.91,0.019567,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.6965100138806266,0.004389264
170.04,36.49,3255.3,0.00030719,2.8884,4.0093,154.99,23.155,43.864,225.52,0.71756,13.986,0.019815,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.7235772357723578,0.0041777839999999995
170.04,37.855,3416.3,0.00029271,2.8578,3.9659,154.49,23.274,44.921,224.63,0.71522,14.066,0.020076,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.7506444576640888,0.003980856
170.04,39.22,3581.7,0.00027919,2.8266,3.9216,154.0,23.397,46.049,223.74,0.71265,14.151,0.02035,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.7777116795558199,0.003796984
170.04,40.585,3751.8,0.00026654,2.7945,3.8763,153.52,23.522,47.253,222.86,0.70982,14.241,0.020638,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.804778901447551,0.003624944
170.04,41.95,3926.9,0.00025465,2.7617,3.83,153.03,23.652,48.543,221.98,0.70672,14.337,0.020941,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.1,0.8318461233392822,0.00346324
