Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
905.8,3.0,39.882,0.025074,60.512,68.034,156.24,31.79,40.169,725.93,0.3168,33.919,0.083541,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.01359680928208847,0.44882459999999996
905.8,10.348,137.97,0.0072478,60.44,67.94,145.87,31.897,40.436,725.0,0.31625,33.949,0.08406,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.04689992748368384,0.12973562
905.8,17.697,236.64,0.0042258,60.368,67.846,141.33,32.004,40.708,724.06,0.31567,33.98,0.084588,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.08020757795503988,0.07564182
905.8,25.045,335.9,0.0029771,60.295,67.751,138.36,32.112,40.983,723.12,0.31507,34.013,0.085125,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.11351069615663525,0.05329008999999999
905.8,32.393,435.75,0.0022949,60.222,67.656,136.14,32.221,41.263,722.18,0.31443,34.047,0.085672,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.14681381435823063,0.04107871
905.8,39.742,536.21,0.0018649,60.149,67.561,134.36,32.33,41.546,721.24,0.31377,34.083,0.086227,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.18012146482958666,0.03338171
905.8,47.09,637.29,0.0015692,60.076,67.465,132.87,32.44,41.834,720.3,0.31308,34.12,0.086792,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.21342458303118206,0.028088679999999998
905.8,54.438,738.98,0.0013532,60.002,67.368,131.58,32.551,42.126,719.36,0.31236,34.159,0.087367,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.2467277012327774,0.02422228
905.8,61.787,841.3,0.0011886,59.927,67.271,130.45,32.662,42.422,718.42,0.31162,34.199,0.087952,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.28003535170413346,0.021275939999999997
905.8,69.135,944.27,0.001059,59.852,67.174,129.43,32.774,42.722,717.48,0.31085,34.241,0.088546,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.31333846990572883,0.0189561
905.8,76.483,1047.9,0.00095431,59.777,67.076,128.51,32.887,43.026,716.55,0.31005,34.284,0.089151,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.3466415881073242,0.017082148999999998
905.8,83.832,1152.1,0.00086794,59.702,66.978,127.66,32.999,43.335,715.61,0.30922,34.329,0.089766,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.3799492385786802,0.015536125999999999
905.8,91.18,1257.1,0.00079549,59.626,66.879,126.88,33.113,43.648,714.68,0.30836,34.376,0.090392,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.4132523567802756,0.014239271
905.8,98.528,1362.7,0.00073385,59.55,66.78,126.15,33.227,43.965,713.75,0.30748,34.424,0.091028,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.446555474981871,0.013135914999999998
905.8,105.88,1469.0,0.00068075,59.473,66.681,125.46,33.341,44.287,712.82,0.30657,34.473,0.091675,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.47987672226250905,0.012185425
905.8,113.23,1575.9,0.00063454,59.396,66.581,124.82,33.456,44.613,711.9,0.30563,34.524,0.092334,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.5131889050036259,0.011358265999999999
905.8,120.57,1683.6,0.00059396,59.319,66.48,124.21,33.572,44.943,710.98,0.30467,34.577,0.093003,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.5464557650471356,0.010631884
905.8,127.92,1792.0,0.00055804,59.241,66.379,123.63,33.688,45.278,710.07,0.30367,34.631,0.093684,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.5797679477882524,0.009988915999999999
905.8,135.27,1901.1,0.00052601,59.163,66.278,123.08,33.804,45.617,709.16,0.30266,34.688,0.094377,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.6130801305293692,0.009415579
905.8,142.62,2010.9,0.00049729,59.084,66.176,122.55,33.92,45.961,708.26,0.30161,34.745,0.095082,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.646392313270486,0.008901491
905.8,149.97,2121.4,0.00047138,59.005,66.074,122.05,34.037,46.309,707.37,0.30054,34.805,0.095798,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.6797044960116027,0.008437701999999998
905.8,157.32,2232.7,0.00044788,58.926,65.972,121.56,34.155,46.661,706.48,0.29944,34.866,0.096527,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.7130166787527193,0.008017052
905.8,164.66,2344.7,0.00042649,58.846,65.869,121.1,34.272,47.018,705.6,0.29832,34.928,0.097268,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.7462835387962292,0.0076341709999999995
905.8,172.01,2457.5,0.00040691,58.766,65.766,120.64,34.39,47.379,704.73,0.29716,34.993,0.098022,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.7795957215373459,0.007283689
905.8,179.36,2571.1,0.00038895,58.686,65.662,120.21,34.508,47.745,703.86,0.29599,35.059,0.098789,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.8129079042784627,0.006962204999999999
905.8,186.71,2685.3,0.00037239,58.605,65.558,119.78,34.627,48.115,703.01,0.29478,35.127,0.099569,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.8462200870195795,0.006665781
905.8,194.06,2800.4,0.00035709,58.524,65.454,119.37,34.745,48.49,702.16,0.29356,35.197,0.10036,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.8795322697606962,0.006391911
905.8,201.41,2916.3,0.0003429,58.443,65.349,118.97,34.864,48.869,701.33,0.2923,35.268,0.10117,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.9128444525018129,0.006137909999999999
905.8,208.75,3032.9,0.00032972,58.361,65.244,118.58,34.983,49.252,700.5,0.29102,35.341,0.10199,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.9461113125453228,0.0059019879999999995
905.8,216.1,3150.3,0.00031743,58.279,65.138,118.2,35.102,49.64,699.69,0.28972,35.416,0.10282,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,0.9794234952864395,0.005681996999999999
905.8,223.45,3268.6,0.00030595,58.196,65.032,117.83,35.222,50.032,698.89,0.28839,35.493,0.10367,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,1.0127356780275563,0.005476505
905.8,223.45,3268.6,0.00030595,58.196,65.032,117.83,35.222,50.032,698.89,0.28839,35.493,0.10367,supercritical,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,1.0127356780275563,0.005476505
905.8,223.45,3268.6,0.00030595,58.196,65.032,117.83,35.222,50.032,698.89,0.28839,35.493,0.10367,supercritical,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,1.0127356780275563,0.005476505
905.8,230.8,3387.6,0.0002952,58.113,64.926,117.47,35.341,50.429,698.1,0.28704,35.571,0.10453,supercritical,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,1.0460478607686732,0.00528408
905.8,238.15,3507.4,0.00028511,58.03,64.82,117.12,35.46,50.83,697.33,0.28567,35.652,0.10541,supercritical,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,1.0793600435097899,0.005103468999999999
905.8,245.49,3628.1,0.00027563,57.946,64.713,116.78,35.58,51.235,696.57,0.28427,35.734,0.1063,supercritical,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,1.1126269035532996,0.004933777
905.8,252.84,3749.5,0.0002667,57.862,64.606,116.44,35.699,51.644,695.82,0.28284,35.818,0.10721,supercritical,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,1.1459390862944163,0.004773929999999999
905.8,260.19,3871.8,0.00025828,57.778,64.498,116.11,35.819,52.057,695.08,0.2814,35.904,0.10813,supercritical,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.4,1.179251269035533,0.004623212
