Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
486.69,1.0,24.733,0.040432,25.962,30.005,140.54,35.932,44.293,336.39,0.33422,23.373,0.03179,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.013550135501355014,0.4285792
486.69,3.4583,85.709,0.011667,25.934,29.969,130.17,35.968,44.446,336.11,0.33333,23.406,0.031887,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.046860433604336046,0.1236702
486.69,5.9167,146.93,0.0068058,25.906,29.933,125.65,36.004,44.6,335.84,0.33242,23.44,0.031984,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.0801720867208672,0.07214148
486.69,8.375,208.41,0.0047983,25.878,29.896,122.7,36.04,44.755,335.58,0.33151,23.474,0.032082,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.11348238482384825,0.05086198
486.69,10.833,270.13,0.003702,25.849,29.86,120.5,36.076,44.912,335.33,0.33058,23.509,0.03218,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.14678861788617886,0.0392412
486.69,13.292,332.09,0.0030112,25.821,29.823,118.74,36.113,45.07,335.08,0.32964,23.544,0.032279,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.18010840108401086,0.03191872
486.69,15.75,394.31,0.0025361,25.792,29.787,117.27,36.149,45.23,334.85,0.32869,23.581,0.032378,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.21341463414634146,0.026882659999999996
486.69,18.208,456.76,0.0021893,25.764,29.75,116.01,36.185,45.391,334.62,0.32772,23.618,0.032477,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.24672086720867206,0.023206579999999997
486.69,20.667,519.47,0.0019251,25.735,29.713,114.9,36.222,45.553,334.39,0.32675,23.655,0.032577,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.2800406504065041,0.020406059999999997
486.69,23.125,582.41,0.001717,25.706,29.677,113.91,36.258,45.717,334.18,0.32576,23.694,0.032678,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.3133468834688347,0.0182002
486.69,25.583,645.6,0.0015489,25.678,29.64,113.01,36.295,45.882,333.97,0.32476,23.732,0.032779,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.3466531165311653,0.01641834
486.69,28.042,709.03,0.0014104,25.649,29.604,112.19,36.331,46.048,333.77,0.32375,23.772,0.032881,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.37997289972899734,0.014950239999999998
486.69,30.5,772.7,0.0012942,25.62,29.567,111.43,36.368,46.216,333.58,0.32272,23.813,0.032983,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.41327913279132794,0.013718519999999998
486.69,32.958,836.62,0.0011953,25.591,29.53,110.72,36.404,46.385,333.4,0.32168,23.854,0.033086,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.44658536585365854,0.01267018
486.69,35.417,900.77,0.0011102,25.562,29.494,110.07,36.441,46.555,333.22,0.32063,23.896,0.03319,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.47990514905149056,0.011768119999999998
486.69,37.875,965.16,0.0010361,25.533,29.457,109.45,36.477,46.727,333.05,0.31956,23.938,0.033294,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.5132113821138211,0.01098266
486.69,40.333,1029.8,0.00097108,25.504,29.42,108.87,36.514,46.9,332.89,0.31848,23.982,0.033399,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.5465176151761517,0.010293448
486.69,42.792,1094.6,0.00091354,25.474,29.383,108.32,36.55,47.074,332.74,0.31739,24.026,0.033505,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.5798373983739837,0.009683523999999999
486.69,45.25,1159.7,0.00086226,25.445,29.347,107.79,36.587,47.25,332.6,0.31628,24.071,0.033612,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.6131436314363143,0.009139956
486.69,47.708,1225.1,0.00081628,25.416,29.31,107.29,36.623,47.427,332.46,0.31515,24.117,0.033719,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.6464498644986449,0.008652568
486.69,50.167,1290.6,0.00077481,25.386,29.273,106.82,36.66,47.605,332.33,0.31401,24.163,0.033828,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.679769647696477,0.008212986
486.69,52.625,1356.4,0.00073723,25.357,29.237,106.36,36.696,47.784,332.21,0.31286,24.211,0.033937,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.7130758807588076,0.007814637999999999
486.69,55.083,1422.4,0.00070302,25.327,29.2,105.92,36.732,47.964,332.1,0.31169,24.259,0.034047,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.6,0.7463821138211382,0.007452011999999999
