Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
231.87,1.0,51.965,0.019244,4.8044,6.7287,197.76,20.865,29.257,290.13,0.42636,16.707,0.020956,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.019829466587348802,0.2617184
231.87,2.365,123.2,0.0081167,4.7921,6.7117,190.55,20.888,29.387,289.9,0.42558,16.739,0.021037,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.04689668847907992,0.11038711999999999
231.87,3.73,194.79,0.0051336,4.7797,6.6946,186.71,20.91,29.518,289.67,0.42478,16.771,0.021117,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.07396391037081103,0.06981696
231.87,5.095,266.74,0.003749,4.7673,6.6774,184.06,20.932,29.651,289.44,0.42396,16.804,0.021199,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.10103113226254214,0.0509864
231.87,6.46,339.05,0.0029494,4.7549,6.6603,182.04,20.955,29.785,289.22,0.42312,16.837,0.02128,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.12809835415427326,0.040111839999999996
231.87,7.825,411.71,0.0024289,4.7424,6.643,180.39,20.977,29.921,289.0,0.42226,16.87,0.021363,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.15516557604600437,0.03303304
231.87,9.19,484.74,0.0020629,4.7299,6.6258,179.0,21.0,30.058,288.79,0.42139,16.903,0.021446,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.18223279793773547,0.028055439999999997
231.87,10.555,558.14,0.0017917,4.7173,6.6085,177.79,21.023,30.198,288.58,0.42049,16.936,0.021529,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.20930001982946658,0.02436712
231.87,11.92,631.9,0.0015825,4.7047,6.5911,176.73,21.045,30.338,288.37,0.41957,16.97,0.021613,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.2363672417211977,0.021522
231.87,13.285,706.04,0.0014164,4.6921,6.5737,175.77,21.068,30.48,288.17,0.41863,17.004,0.021698,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.2634344636129288,0.01926304
231.87,14.65,780.54,0.0012812,4.6794,6.5563,174.9,21.091,30.624,287.97,0.41767,17.038,0.021784,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.29050168550465993,0.017424319999999997
231.87,16.015,855.42,0.001169,4.6666,6.5388,174.11,21.113,30.77,287.78,0.41669,17.072,0.02187,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.31756890739639104,0.015898399999999997
231.87,17.38,930.68,0.0010745,4.6538,6.5213,173.37,21.136,30.917,287.59,0.41569,17.107,0.021957,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.34463612928812215,0.014613199999999998
231.87,18.745,1006.3,0.00099372,4.641,6.5037,172.69,21.159,31.066,287.4,0.41466,17.142,0.022044,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.37170335117985326,0.013514592
231.87,20.11,1082.3,0.00092393,4.6281,6.4861,172.05,21.182,31.217,287.22,0.41362,17.178,0.022132,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.39877057307158437,0.012565448
231.87,21.475,1158.7,0.00086301,4.6151,6.4685,171.45,21.205,31.369,287.04,0.41255,17.213,0.022221,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.42583779496331553,0.011736936
231.87,22.84,1235.5,0.00080938,4.6021,6.4508,170.88,21.228,31.523,286.87,0.41146,17.249,0.022311,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.4529050168550466,0.011007567999999999
231.87,24.205,1312.7,0.0007618,4.5891,6.433,170.34,21.251,31.679,286.7,0.41035,17.286,0.022401,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.4799722387467777,0.01036048
231.87,25.57,1390.2,0.0007193,4.576,6.4153,169.83,21.274,31.837,286.54,0.40922,17.323,0.022493,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.5070394606385088,0.00978248
231.87,26.935,1468.2,0.00068111,4.5629,6.3975,169.34,21.297,31.996,286.38,0.40807,17.36,0.022585,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.53410668253024,0.009263095999999998
231.87,28.3,1546.5,0.00064661,4.5497,6.3796,168.87,21.32,32.157,286.23,0.40689,17.398,0.022678,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.561173904421971,0.008793896
231.87,29.665,1625.3,0.00061529,4.5365,6.3618,168.42,21.344,32.32,286.08,0.40569,17.436,0.022771,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.5882411263137022,0.008367944
231.87,31.03,1704.4,0.00058672,4.5232,6.3438,167.99,21.367,32.484,285.94,0.40447,17.475,0.022866,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.6153083482054333,0.007979392
231.87,32.395,1783.9,0.00056057,4.5099,6.3259,167.58,21.39,32.651,285.8,0.40322,17.514,0.022961,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.6423755700971645,0.007623752
231.87,33.76,1863.8,0.00053653,4.4966,6.3079,167.18,21.413,32.819,285.67,0.40195,17.553,0.023058,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.6694427919888954,0.007296808
231.87,35.125,1944.1,0.00051437,4.4832,6.2899,166.79,21.436,32.989,285.55,0.40066,17.593,0.023155,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.6965100138806266,0.006995431999999999
231.87,36.49,2024.8,0.00049387,4.4697,6.2718,166.41,21.46,33.161,285.43,0.39935,17.634,0.023253,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.7235772357723578,0.006716631999999999
231.87,37.855,2106.0,0.00047484,4.4562,6.2537,166.05,21.483,33.334,285.31,0.39801,17.675,0.023352,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.7506444576640888,0.006457823999999999
231.87,39.22,2187.5,0.00045715,4.4427,6.2356,165.7,21.506,33.509,285.21,0.39666,17.717,0.023453,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.7777116795558199,0.00621724
231.87,40.585,2269.4,0.00044065,4.4291,6.2174,165.36,21.53,33.686,285.11,0.39527,17.759,0.023554,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.804778901447551,0.00599284
231.87,41.95,2351.7,0.00042523,4.4154,6.1992,165.02,21.553,33.865,285.01,0.39387,17.802,0.023656,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.8318461233392822,0.005783128
231.87,43.315,2434.4,0.00041078,4.4017,6.181,164.7,21.576,34.046,284.92,0.39244,17.845,0.023759,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.5,0.8589133452310133,0.005586608
