Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
300.0,3.0,122.07,0.008192,19.793,22.25,111.46,29.231,38.13,267.88,1.077,15.023,0.016887,vapor
300.0,10.348,437.71,0.0022846,19.574,21.938,100.43,30.063,40.66,262.15,1.0803,15.113,0.017359,vapor
300.0,17.697,781.23,0.00128,19.338,21.603,95.168,30.986,43.779,256.12,1.0833,15.235,0.017941,vapor
300.0,25.045,1159.8,0.00086221,19.08,21.239,91.389,32.03,47.759,249.71,1.0854,15.4,0.018676,vapor
300.0,32.393,1584.1,0.00063127,18.793,20.838,88.246,33.245,53.073,242.83,1.0858,15.623,0.019637,vapor
300.0,39.742,2071.1,0.00048284,18.468,20.387,85.389,34.715,60.63,235.32,1.0834,15.931,0.020956,vapor
300.0,47.09,2650.7,0.00037726,18.086,19.863,82.595,36.596,72.463,226.92,1.0757,16.371,0.022906,vapor
300.0,54.438,3385.3,0.00029539,17.611,19.219,79.628,39.255,94.387,217.08,1.0575,17.048,0.026166,vapor
300.0,61.787,4457.5,0.00022434,16.934,18.32,75.997,43.922,154.23,204.11,1.0125,18.289,0.033238,vapor
300.0,67.131,6102.8,0.00016386,15.935,17.035,71.364,54.908,524.64,185.33,0.90093,20.811,0.055713,vapor
300.0,67.131,15434.0,6.4793e-05,12.036,12.471,56.151,49.288,382.79,245.67,0.27258,53.192,0.080841,liquid
300.0,69.135,15893.0,6.2922e-05,11.873,12.308,55.562,46.895,284.85,272.6,0.23226,55.857,0.079672,liquid
300.0,76.483,16819.0,5.9456e-05,11.527,11.982,54.327,44.178,190.32,325.87,0.16736,61.691,0.081262,liquid
300.0,83.832,17384.0,5.7526e-05,11.308,11.79,53.544,43.023,160.12,360.38,0.1359,65.58,0.083623,liquid
300.0,91.18,17807.0,5.6157e-05,11.138,11.65,52.94,42.332,143.87,387.41,0.1155,68.685,0.085817,liquid
300.0,98.528,18152.0,5.509e-05,10.998,11.541,52.439,41.868,133.32,410.11,0.10064,71.342,0.087814,liquid
