Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
1099.9,3.0,32.821,0.030469,66.925,76.066,164.27,34.241,42.589,794.22,0.1812,41.458,0.10964,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.6999999999999997,0.01359680928208847,0.5453950999999999
1099.9,10.348,113.35,0.0088226,66.879,76.009,153.93,34.291,42.724,793.96,0.18092,41.492,0.11023,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.6999999999999997,0.04689992748368384,0.15792453999999997
1099.9,17.697,194.06,0.0051531,66.833,75.952,149.43,34.342,42.86,793.7,0.18064,41.526,0.11081,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.6999999999999997,0.08020757795503988,0.09224049
1099.9,25.045,274.96,0.0036369,66.787,75.895,146.5,34.392,42.996,793.45,0.18035,41.56,0.1114,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.6999999999999997,0.11351069615663525,0.06510051
1099.9,32.393,356.06,0.0028085,66.74,75.838,144.32,34.443,43.133,793.19,0.18005,41.596,0.112,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.6999999999999997,0.14681381435823063,0.050272149999999995
1099.9,39.742,437.34,0.0022865,66.694,75.781,142.58,34.493,43.27,792.94,0.17974,41.632,0.1126,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.6999999999999997,0.18012146482958666,0.040928349999999995
1099.9,47.09,518.82,0.0019275,66.647,75.724,141.13,34.544,43.409,792.69,0.17942,41.669,0.11321,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.6999999999999997,0.21342458303118206,0.03450225
1099.9,54.438,600.49,0.0016653,66.601,75.666,139.88,34.594,43.548,792.44,0.17909,41.706,0.11382,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.6999999999999997,0.2467277012327774,0.029808869999999998
1099.9,61.787,682.35,0.0014655,66.554,75.609,138.78,34.645,43.688,792.2,0.17876,41.745,0.11443,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.6999999999999997,0.28003535170413346,0.026232449999999997
1099.9,69.135,764.41,0.0013082,66.508,75.552,137.81,34.695,43.828,791.96,0.17841,41.784,0.11506,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.6999999999999997,0.31333846990572883,0.023416779999999998
