Temperature (C)	Pressure (atm)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
0.0000	9.8690e-06	0.00044031	2271.1	5.6759	7.9470	298.31	20.956	29.271	314.85	0.57956	19.121	0.024300	vapor
2.0000	9.8690e-06	0.00043711	2287.7	5.7178	8.0055	298.52	20.963	29.278	315.99	0.57173	19.235	0.024461	vapor
4.0000	9.8690e-06	0.00043396	2304.4	5.7598	8.0641	298.73	20.971	29.285	317.12	0.56405	19.349	0.024622	vapor
6.0000	9.8690e-06	0.00043085	2321.0	5.8017	8.1227	298.94	20.979	29.293	318.24	0.55649	19.463	0.024783	vapor
8.0000	9.8690e-06	0.00042778	2337.6	5.8437	8.1813	299.15	20.986	29.301	319.36	0.54906	19.576	0.024943	vapor
10.000	9.8690e-06	0.00042476	2354.3	5.8857	8.2399	299.36	20.994	29.309	320.48	0.54176	19.690	0.025103	vapor
12.000	9.8690e-06	0.00042178	2370.9	5.9277	8.2985	299.57	21.003	29.317	321.59	0.53458	19.802	0.025263	vapor
14.000	9.8690e-06	0.00041884	2387.5	5.9697	8.3571	299.77	21.011	29.326	322.70	0.52751	19.915	0.025422	vapor
16.000	9.8690e-06	0.00041595	2404.1	6.0117	8.4158	299.98	21.020	29.334	323.80	0.52057	20.027	0.025582	vapor
18.000	9.8690e-06	0.00041309	2420.8	6.0538	8.4745	300.18	21.029	29.343	324.90	0.51373	20.139	0.025741	vapor
20.000	9.8690e-06	0.00041027	2437.4	6.0958	8.5332	300.38	21.038	29.352	326.00	0.50701	20.251	0.025899	vapor
22.000	9.8690e-06	0.00040749	2454.0	6.1379	8.5919	300.58	21.047	29.362	327.08	0.50039	20.362	0.026058	vapor
24.000	9.8690e-06	0.00040475	2470.7	6.1800	8.6506	300.78	21.057	29.371	328.17	0.49388	20.473	0.026216	vapor
26.000	9.8690e-06	0.00040204	2487.3	6.2221	8.7094	300.97	21.066	29.381	329.25	0.48748	20.584	0.026373	vapor
28.000	9.8690e-06	0.00039937	2503.9	6.2643	8.7681	301.17	21.076	29.391	330.33	0.48117	20.694	0.026531	vapor
30.000	9.8690e-06	0.00039674	2520.6	6.3064	8.8269	301.36	21.087	29.401	331.40	0.47496	20.804	0.026688	vapor
32.000	9.8690e-06	0.00039414	2537.2	6.3486	8.8858	301.56	21.097	29.411	332.47	0.46885	20.914	0.026845	vapor
34.000	9.8690e-06	0.00039157	2553.8	6.3908	8.9446	301.75	21.107	29.422	333.53	0.46283	21.024	0.027002	vapor
36.000	9.8690e-06	0.00038904	2570.4	6.4331	9.0034	301.94	21.118	29.432	334.59	0.45690	21.133	0.027158	vapor
38.000	9.8690e-06	0.00038654	2587.1	6.4753	9.0623	302.13	21.129	29.443	335.65	0.45106	21.242	0.027314	vapor
40.000	9.8690e-06	0.00038407	2603.7	6.5176	9.1212	302.32	21.140	29.455	336.70	0.44531	21.351	0.027470	vapor
42.000	9.8690e-06	0.00038163	2620.3	6.5599	9.1801	302.51	21.152	29.466	337.75	0.43965	21.459	0.027625	vapor
44.000	9.8690e-06	0.00037923	2637.0	6.6022	9.2391	302.69	21.163	29.477	338.79	0.43407	21.567	0.027781	vapor
46.000	9.8690e-06	0.00037685	2653.6	6.6445	9.2980	302.88	21.175	29.489	339.83	0.42857	21.675	0.027936	vapor
48.000	9.8690e-06	0.00037450	2670.2	6.6869	9.3570	303.06	21.187	29.501	340.87	0.42315	21.782	0.028090	vapor
50.000	9.8690e-06	0.00037218	2686.8	6.7293	9.4160	303.25	21.199	29.513	341.90	0.41781	21.890	0.028245	vapor
52.000	9.8690e-06	0.00036989	2703.5	6.7717	9.4751	303.43	21.211	29.526	342.93	0.41255	21.997	0.028399	vapor
