Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
196.12,1.0,61.515,0.016256,2.4345,4.0601,146.08,12.498,20.925,260.62,0.76608,15.717,0.012319,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.020416288114657875,0.21799296
196.12,2.63,162.6,0.0061499,2.4165,4.0339,137.95,12.542,21.157,260.28,0.76278,15.761,0.012398,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.053694837741550205,0.082470159
196.12,4.26,264.73,0.0037775,2.3983,4.0075,133.85,12.585,21.394,259.95,0.75944,15.806,0.012479,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.08697338736844254,0.05065627500000001
196.12,5.89,367.91,0.0027181,2.38,3.981,131.06,12.63,21.637,259.62,0.75603,15.854,0.012562,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.12025193699533487,0.036449721000000004
196.12,7.52,472.16,0.0021179,2.3615,3.9542,128.94,12.674,21.886,259.29,0.75257,15.903,0.012648,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.1535304866222272,0.028401039
196.12,9.15,577.52,0.0017315,2.3429,3.9273,127.21,12.719,22.141,258.97,0.74905,15.954,0.012737,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.18680903624911957,0.023219415
196.12,10.78,684.0,0.001462,2.3241,3.9001,125.75,12.764,22.404,258.66,0.74547,16.006,0.012828,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.22008758587601188,0.019605420000000002
196.12,12.41,791.62,0.0012632,2.3051,3.8728,124.48,12.81,22.672,258.35,0.74182,16.061,0.012922,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.2533661355029042,0.016939512
196.12,14.04,900.41,0.0011106,2.286,3.8453,123.36,12.856,22.948,258.04,0.73811,16.118,0.013019,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.2866446851297965,0.014893146000000001
196.12,15.67,1010.4,0.00098971,2.2667,3.8176,122.35,12.902,23.231,257.75,0.73433,16.177,0.013118,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.3199232347566889,0.013272011100000002
196.12,17.3,1121.6,0.00089158,2.2473,3.7897,121.42,12.949,23.522,257.45,0.73048,16.238,0.013221,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.35320178438358124,0.011956087800000001
196.12,18.93,1234.1,0.00081033,2.2276,3.7616,120.57,12.996,23.821,257.17,0.72656,16.301,0.013327,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.38648033401047355,0.0108665253
196.12,20.56,1347.8,0.00074196,2.2078,3.7333,119.78,13.044,24.127,256.89,0.72256,16.367,0.013436,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.41975888363736585,0.0099496836
196.12,22.19,1462.8,0.00068362,2.1878,3.7047,119.05,13.092,24.442,256.62,0.71849,16.435,0.013548,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.45303743326425827,0.009167344200000002
196.12,23.82,1579.1,0.00063325,2.1676,3.676,118.35,13.14,24.765,256.36,0.71434,16.505,0.013664,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.4863159828911506,0.0084918825
196.12,25.45,1696.8,0.00058933,2.1472,3.6471,117.7,13.189,25.098,256.1,0.71011,16.577,0.013783,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.5195945325180429,0.0079029153
196.12,27.08,1815.9,0.00055068,2.1267,3.6179,117.08,13.238,25.439,255.85,0.7058,16.653,0.013906,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.5528730821449352,0.007384618800000001
196.12,28.71,1936.4,0.00051642,2.1059,3.5885,116.48,13.287,25.79,255.62,0.70141,16.73,0.014032,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.5861516317718276,0.0069251922
196.12,30.34,2058.4,0.00048583,2.0849,3.5589,115.92,13.337,26.15,255.39,0.69693,16.811,0.014162,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.6194301813987199,0.006514980300000001
196.12,31.97,2181.8,0.00045835,2.0638,3.5291,115.37,13.388,26.521,255.17,0.69236,16.894,0.014297,vapor,Ar,C7440371,argon,150.86,48.9805,13.41,0.07457121551081282,1.3,0.6527087310256122,0.006146473500000001
