Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
273.76,1.0,44.225,0.022612,19.101,21.362,117.41,27.84,36.41,258.35,1.364,13.739,0.014789,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,0.9,0.013550135501355014,0.2396872
273.76,3.4583,155.53,0.0064295,19.014,21.238,106.77,28.242,37.487,255.9,1.3661,13.755,0.014942,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,0.9,0.046860433604336046,0.0681527
273.76,5.9167,270.8,0.0036928,18.925,21.11,101.98,28.663,38.663,253.36,1.3685,13.775,0.015109,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,0.9,0.0801720867208672,0.03914368
273.76,8.375,390.43,0.0025613,18.833,20.978,98.746,29.107,39.958,250.76,1.3714,13.799,0.015293,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,0.9,0.11348238482384825,0.027149779999999995
273.76,10.833,514.88,0.0019422,18.736,20.84,96.246,29.579,41.395,248.06,1.3746,13.827,0.015497,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,0.9,0.14678861788617886,0.02058732
273.76,13.292,644.72,0.0015511,18.636,20.698,94.168,30.083,43.005,245.26,1.3781,13.86,0.015724,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,0.9,0.18010840108401086,0.016441659999999997
273.76,15.75,780.61,0.001281,18.531,20.549,92.359,30.627,44.826,242.36,1.3818,13.9,0.015978,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,0.9,0.21341463414634146,0.0135786
273.76,18.208,923.4,0.001083,18.421,20.393,90.732,31.22,46.912,239.33,1.3858,13.946,0.016265,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,0.9,0.24672086720867206,0.011479799999999998
273.76,20.667,1074.1,0.00093102,18.305,20.229,89.232,31.87,49.334,236.15,1.3899,14.0,0.016593,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,0.9,0.2800406504065041,0.009868812
273.76,23.125,1234.0,0.00081038,18.181,20.055,87.818,32.594,52.193,232.8,1.3941,14.063,0.016973,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,0.9,0.3133468834688347,0.008590028
273.76,25.583,1404.8,0.00071184,18.049,19.87,86.46,33.412,55.638,229.25,1.3984,14.138,0.017421,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,0.9,0.3466531165311653,0.007545504
273.76,28.042,1588.9,0.00062938,17.907,19.672,85.133,34.352,59.901,225.45,1.4027,14.227,0.017958,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,0.9,0.37997289972899734,0.006671428
