Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
200.95,1.0,60.028,0.016659,4.1583,5.8242,193.57,20.839,29.264,269.99,0.54688,14.778,0.018321,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.019829466587348802,0.2265624
200.95,2.365,142.54,0.0070155,4.1432,5.8023,186.34,20.876,29.455,269.53,0.54634,14.811,0.018414,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.04689668847907992,0.0954108
200.95,3.73,225.73,0.0044301,4.1279,5.7803,182.48,20.912,29.649,269.08,0.54577,14.845,0.018508,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.07396391037081103,0.06024936
200.95,5.095,309.61,0.0032299,4.1125,5.7581,179.81,20.949,29.848,268.63,0.54517,14.878,0.018603,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.10103113226254214,0.043926639999999996
200.95,6.46,394.18,0.0025369,4.097,5.7359,177.76,20.987,30.05,268.19,0.54453,14.912,0.018699,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.12809835415427326,0.03450184
200.95,7.825,479.46,0.0020857,4.0814,5.7135,176.08,21.024,30.257,267.74,0.54386,14.947,0.018797,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.15516557604600437,0.028365519999999995
200.95,9.19,565.46,0.0017685,4.0657,5.6909,174.67,21.062,30.468,267.3,0.54315,14.981,0.018895,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.18223279793773547,0.0240516
200.95,10.555,652.19,0.0015333,4.0499,5.6683,173.44,21.1,30.683,266.86,0.5424,15.017,0.018995,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.20930001982946658,0.02085288
200.95,11.92,739.67,0.0013519,4.034,5.6455,172.35,21.138,30.903,266.42,0.54161,15.052,0.019096,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.2363672417211977,0.01838584
200.95,13.285,827.91,0.0012079,4.018,5.6226,171.37,21.177,31.127,265.99,0.54079,15.088,0.019199,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.2634344636129288,0.01642744
200.95,14.65,916.92,0.0010906,4.0018,5.5996,170.47,21.216,31.356,265.56,0.53992,15.125,0.019303,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.29050168550465993,0.014832159999999999
200.95,16.015,1006.7,0.00099333,3.9856,5.5764,169.65,21.255,31.59,265.14,0.53901,15.162,0.019408,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.31756890739639104,0.013509288
200.95,17.38,1097.3,0.00091133,3.9692,5.5531,168.89,21.295,31.829,264.71,0.53806,15.199,0.019515,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.34463612928812215,0.012394088
200.95,18.745,1188.7,0.00084126,3.9527,5.5296,168.18,21.334,32.073,264.3,0.53707,15.238,0.019624,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.37170335117985326,0.011441136
200.95,20.11,1280.9,0.00078069,3.9361,5.506,167.51,21.375,32.323,263.88,0.53604,15.277,0.019734,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.39877057307158437,0.010617384
200.95,21.475,1374.0,0.00072781,3.9193,5.4823,166.88,21.415,32.578,263.47,0.53495,15.316,0.019845,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.42583779496331553,0.009898216
200.95,22.84,1467.9,0.00068125,3.9025,5.4585,166.28,21.456,32.838,263.07,0.53383,15.356,0.019959,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.4529050168550466,0.009264999999999999
200.95,24.205,1562.7,0.00063993,3.8855,5.4345,165.71,21.497,33.104,262.67,0.53265,15.397,0.020074,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.4799722387467777,0.008703048
200.95,25.57,1658.3,0.00060302,3.8684,5.4103,165.17,21.538,33.376,262.27,0.53143,15.439,0.020191,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.5070394606385088,0.008201072
200.95,26.935,1754.9,0.00056984,3.8512,5.3861,164.65,21.58,33.654,261.88,0.53015,15.482,0.02031,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.53410668253024,0.007749823999999999
200.95,28.3,1852.3,0.00053986,3.8338,5.3616,164.16,21.622,33.938,261.5,0.52883,15.525,0.020431,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.561173904421971,0.007342095999999999
200.95,29.665,1950.7,0.00051263,3.8163,5.3371,163.68,21.664,34.228,261.12,0.52746,15.569,0.020554,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.5882411263137022,0.006971768000000001
200.95,31.03,2050.0,0.0004878,3.7987,5.3123,163.21,21.706,34.524,260.75,0.52603,15.615,0.020679,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.6153083482054333,0.00663408
200.95,32.395,2150.3,0.00046505,3.7809,5.2875,162.77,21.749,34.828,260.38,0.52455,15.661,0.020807,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.6423755700971645,0.00632468
200.95,33.76,2251.5,0.00044414,3.763,5.2625,162.33,21.792,35.138,260.02,0.52301,15.708,0.020936,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.6694427919888954,0.006040304
200.95,35.125,2353.8,0.00042485,3.745,5.2373,161.91,21.835,35.454,259.67,0.52142,15.757,0.021068,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.6965100138806266,0.0057779599999999995
200.95,36.49,2457.0,0.000407,3.7268,5.212,161.5,21.879,35.778,259.32,0.51977,15.806,0.021203,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.7235772357723578,0.0055352000000000005
200.95,37.855,2561.2,0.00039044,3.7085,5.1865,161.11,21.923,36.109,258.99,0.51807,15.857,0.02134,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.7506444576640888,0.005309983999999999
200.95,39.22,2666.5,0.00037502,3.6901,5.1609,160.72,21.967,36.448,258.66,0.5163,15.909,0.021479,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.7777116795558199,0.0051002719999999994
200.95,40.585,2772.8,0.00036064,3.6715,5.1352,160.34,22.011,36.794,258.34,0.51447,15.962,0.021621,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.804778901447551,0.004904704
200.95,41.95,2880.2,0.0003472,3.6528,5.1092,159.97,22.056,37.147,258.02,0.51259,16.017,0.021766,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.8318461233392822,0.004721919999999999
200.95,43.315,2988.7,0.0003346,3.6339,5.0832,159.61,22.101,37.509,257.72,0.51064,16.073,0.021914,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.8589133452310133,0.0045505599999999995
200.95,44.68,3098.2,0.00032277,3.6148,5.057,159.26,22.146,37.878,257.43,0.50862,16.131,0.022064,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.8859805671227444,0.004389672
200.95,46.045,3208.9,0.00031164,3.5957,5.0306,158.91,22.191,38.256,257.14,0.50654,16.19,0.022218,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.9130477890144756,0.004238304
200.95,47.41,3320.7,0.00030115,3.5763,5.0041,158.57,22.237,38.642,256.87,0.5044,16.251,0.022374,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.9401150109062065,0.004095639999999999
200.95,48.775,3433.6,0.00029124,3.5568,4.9774,158.24,22.283,39.036,256.6,0.50219,16.314,0.022534,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.9671822327979377,0.003960864
200.95,50.14,3547.6,0.00028188,3.5372,4.9505,157.91,22.329,39.439,256.35,0.49991,16.378,0.022697,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,0.9942494546896689,0.0038335679999999994
200.95,51.505,3662.9,0.00027301,3.5174,4.9235,157.59,22.375,39.851,256.11,0.49756,16.444,0.022864,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,1.0213166765814,0.003712936
200.95,51.505,3662.9,0.00027301,3.5174,4.9235,157.59,22.375,39.851,256.11,0.49756,16.444,0.022864,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,1.0213166765814,0.003712936
200.95,51.505,3662.9,0.00027301,3.5174,4.9235,157.59,22.375,39.851,256.11,0.49756,16.444,0.022864,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,1.0213166765814,0.003712936
200.95,52.87,3779.3,0.0002646,3.4975,4.8964,157.27,22.421,40.271,255.88,0.49514,16.512,0.023034,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,1.3,1.048383898473131,0.0035985599999999998
