Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
1229.3,3.0,29.359,0.034061,71.461,81.679,169.09,35.818,44.157,836.11,0.13019,46.277,0.12775,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.01359680928208847,0.6096919
1229.3,10.348,101.33,0.0098685,71.424,81.637,158.77,35.852,44.25,836.09,0.13001,46.308,0.1284,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.04689992748368384,0.17664615
1229.3,17.697,173.39,0.0057672,71.388,81.594,154.28,35.886,44.343,836.07,0.12982,46.34,0.12905,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.08020757795503988,0.10323288
1229.3,25.045,245.54,0.0040726,71.352,81.552,151.36,35.92,44.437,836.05,0.12963,46.372,0.1297,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.11351069615663525,0.07289954
1229.3,32.393,317.77,0.0031469,71.316,81.51,149.19,35.954,44.53,836.04,0.12944,46.405,0.13036,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.14681381435823063,0.05632950999999999
1229.3,39.742,390.09,0.0025635,71.28,81.467,147.46,35.988,44.624,836.03,0.12924,46.438,0.13102,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.18012146482958666,0.045886649999999994
1229.3,47.09,462.5,0.0021622,71.243,81.425,146.02,36.022,44.719,836.02,0.12903,46.472,0.13169,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.21342458303118206,0.038703379999999996
1229.3,54.438,535.0,0.0018692,71.207,81.383,144.79,36.056,44.813,836.01,0.12882,46.506,0.13236,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.2467277012327774,0.03345868
1229.3,61.787,607.58,0.0016459,71.171,81.34,143.71,36.089,44.908,836.01,0.12861,46.541,0.13303,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.28003535170413346,0.02946161
1229.3,69.135,680.24,0.0014701,71.134,81.298,142.74,36.123,45.003,836.01,0.12839,46.576,0.1337,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.31333846990572883,0.026314789999999998
1229.3,76.483,752.99,0.001328,71.098,81.255,141.87,36.157,45.099,836.01,0.12816,46.612,0.13438,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.3466415881073242,0.0237712
1229.3,83.832,825.83,0.0012109,71.062,81.213,141.08,36.19,45.194,836.01,0.12793,46.648,0.13507,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.3799492385786802,0.021675109999999997
1229.3,91.18,898.76,0.0011126,71.025,81.17,140.35,36.224,45.29,836.02,0.1277,46.684,0.13575,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.4132523567802756,0.01991554
1229.3,98.528,971.77,0.0010291,70.989,81.128,139.68,36.258,45.386,836.03,0.12746,46.721,0.13644,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.446555474981871,0.01842089
1229.3,105.88,1044.9,0.00095707,70.952,81.085,139.05,36.291,45.483,836.04,0.12721,46.758,0.13714,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.47987672226250905,0.017131552999999997
1229.3,113.23,1118.0,0.00089442,70.916,81.043,138.46,36.325,45.579,836.06,0.12696,46.796,0.13783,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.5131889050036259,0.016010118
1229.3,120.57,1191.3,0.00083942,70.879,81.0,137.91,36.358,45.676,836.08,0.12671,46.834,0.13854,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.5464557650471356,0.015025618
1229.3,127.92,1264.6,0.00079073,70.842,80.958,137.39,36.392,45.773,836.1,0.12645,46.873,0.13924,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.5797679477882524,0.014154067
1229.3,135.27,1338.1,0.00074734,70.806,80.915,136.9,36.425,45.87,836.13,0.12619,46.912,0.13995,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.6130801305293692,0.013377385999999998
1229.3,142.62,1411.6,0.00070842,70.769,80.873,136.43,36.458,45.967,836.17,0.12592,46.951,0.14066,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.646392313270486,0.012680717999999999
1229.3,149.97,1485.2,0.00067331,70.733,80.83,135.98,36.492,46.065,836.2,0.12565,46.991,0.14137,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.6797044960116027,0.012052249
1229.3,157.32,1558.9,0.00064149,70.696,80.787,135.55,36.525,46.163,836.24,0.12537,47.032,0.14209,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.7130166787527193,0.011482671
1229.3,164.66,1632.6,0.00061251,70.659,80.745,135.14,36.558,46.261,836.29,0.12509,47.072,0.14281,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.7462835387962292,0.010963928999999999
1229.3,172.01,1706.5,0.000586,70.622,80.702,134.75,36.591,46.359,836.34,0.12481,47.113,0.14354,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.7795957215373459,0.0104894
1229.3,179.36,1780.4,0.00056167,70.586,80.66,134.37,36.624,46.457,836.39,0.12452,47.155,0.14427,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.8129079042784627,0.010053893
1229.3,186.71,1854.4,0.00053926,70.549,80.617,134.01,36.657,46.555,836.45,0.12423,47.197,0.145,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.8462200870195795,0.009652753999999998
1229.3,194.06,1928.5,0.00051854,70.512,80.575,133.66,36.69,46.654,836.51,0.12393,47.239,0.14573,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.8795322697606962,0.009281865999999998
1229.3,201.41,2002.6,0.00049934,70.475,80.532,133.32,36.723,46.753,836.58,0.12363,47.282,0.14647,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.9128444525018129,0.008938186
1229.3,208.75,2076.9,0.00048149,70.439,80.49,132.99,36.756,46.852,836.66,0.12333,47.325,0.14722,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.9461113125453228,0.008618671
1229.3,216.1,2151.2,0.00046486,70.402,80.448,132.67,36.789,46.951,836.73,0.12302,47.368,0.14796,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,0.9794234952864395,0.008320994
1229.3,223.45,2225.6,0.00044932,70.365,80.405,132.37,36.822,47.05,836.82,0.1227,47.412,0.14871,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,1.0127356780275563,0.008042828
1229.3,223.45,2225.6,0.00044932,70.365,80.405,132.37,36.822,47.05,836.82,0.1227,47.412,0.14871,supercritical,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.9,1.0127356780275563,0.008042828
