Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Z
711.7,10.0,170.79,0.0058551,54.438,60.293,136.66,29.736,38.568,645.79,0.6323,26.042,0.060011,vapor,0.9895262756398273
711.7,20.0,345.33,0.0028957,54.255,60.046,130.64,30.171,39.564,642.2,0.63103,26.045,0.060991,vapor,0.9787608192414299
711.7,30.0,523.87,0.0019089,54.067,59.793,127.0,30.628,40.631,638.52,0.62926,26.054,0.062015,vapor,0.9678263603877983
711.7,40.0,706.66,0.0014151,53.874,59.535,124.34,31.106,41.772,634.75,0.627,26.068,0.063085,vapor,0.956621497605793
711.7,50.0,893.99,0.0011186,53.677,59.27,122.2,31.605,42.992,630.9,0.62426,26.089,0.064206,vapor,0.9452307321230301
711.7,60.0,1086.2,0.00092067,53.474,58.998,120.39,32.125,44.298,626.96,0.62105,26.116,0.065382,vapor,0.9335729427609978
711.7,70.0,1283.5,0.00077909,53.266,58.719,118.81,32.668,45.696,622.93,0.61739,26.149,0.066618,vapor,0.9216768599370858
711.7,80.0,1486.5,0.00067273,53.052,58.433,117.39,33.232,47.194,618.81,0.61329,26.19,0.067919,vapor,0.9095441736758463
711.7,90.0,1695.4,0.00058983,52.832,58.14,116.1,33.818,48.8,614.6,0.60876,26.239,0.069292,vapor,0.8971444635353372
711.7,100.0,1910.8,0.00052335,52.606,57.839,114.89,34.426,50.522,610.3,0.60381,26.296,0.070743,vapor,0.8844743494664542
711.7,110.0,2133.0,0.00046882,52.373,57.53,113.76,35.056,52.373,605.9,0.59845,26.361,0.07228,vapor,0.8715490416901679
711.7,120.0,2362.7,0.00042324,52.133,57.212,112.69,35.708,54.363,601.4,0.59268,26.437,0.073912,vapor,0.8583431898381934
711.7,130.0,2600.5,0.00038454,51.886,56.885,111.67,36.383,56.506,596.81,0.58652,26.522,0.07565,vapor,0.8448466537632165
711.7,140.0,2847.1,0.00035124,51.632,56.549,110.68,37.079,58.817,592.11,0.57996,26.619,0.077504,vapor,0.8310459132688187
711.7,150.0,3103.1,0.00032226,51.369,56.203,109.72,37.797,61.314,587.32,0.57302,26.728,0.079489,vapor,0.816940968355
711.7,160.0,3369.4,0.00029679,51.098,55.846,108.78,38.537,64.017,582.42,0.56568,26.85,0.081621,vapor,0.8025318190217604
711.7,170.0,3647.1,0.00027419,50.817,55.479,107.86,39.299,66.947,577.43,0.55796,26.987,0.083916,vapor,0.787759314409768
711.7,180.0,3937.0,0.000254,50.527,55.099,106.96,40.081,70.13,572.33,0.54985,27.14,0.086396,vapor,0.7726792253292497
711.7,190.0,4240.5,0.00023582,50.227,54.707,106.07,40.884,73.597,567.13,0.54134,27.311,0.089086,vapor,0.7572290208717694
711.7,200.0,4558.9,0.00021935,49.915,54.302,105.18,41.705,77.38,561.83,0.53243,27.501,0.092013,vapor,0.7414137711109839
711.7,210.0,4893.6,0.00020435,49.592,53.883,104.29,42.545,81.519,556.44,0.52311,27.714,0.095212,vapor,0.7252486862678644
711.7,220.0,5246.5,0.0001906,49.256,53.449,103.4,43.401,86.059,550.95,0.51336,27.952,0.09872,vapor,0.7086610952866601
711.7,230.0,5619.5,0.00017795,48.906,52.999,102.51,44.272,91.049,545.37,0.50318,28.218,0.10258,vapor,0.6917016989039413
711.7,230.0,5619.5,0.00017795,48.906,52.999,102.51,44.272,91.049,545.37,0.50318,28.218,0.10258,supercritical,0.6917016989039413
711.7,230.0,5619.5,0.00017795,48.906,52.999,102.51,44.272,91.049,545.37,0.50318,28.218,0.10258,supercritical,0.6917016989039413
711.7,240.0,6014.9,0.00016625,48.542,52.532,101.61,45.155,96.549,539.72,0.49255,28.516,0.10685,supercritical,0.6743197963831379
711.7,250.0,6435.3,0.00015539,48.163,52.047,100.71,46.046,102.62,534.0,0.48145,28.85,0.11159,supercritical,0.656532287969773
711.7,260.0,6883.6,0.00014527,47.767,51.544,99.788,46.942,109.35,528.23,0.46985,29.225,0.11686,supercritical,0.6383256534674284
711.7,270.0,7363.3,0.00013581,47.353,51.02,98.854,47.837,116.8,522.44,0.45773,29.648,0.12275,supercritical,0.6197100330234178
711.7,280.0,7878.1,0.00012693,46.92,50.474,97.903,48.725,125.06,516.65,0.44506,30.124,0.12935,supercritical,0.6006414859993803
711.7,290.0,8432.2,0.00011859,46.467,49.906,96.933,49.596,134.21,510.93,0.43178,30.664,0.13674,supercritical,0.5812180338193518
711.7,300.0,9030.5,0.00011074,45.993,49.315,95.941,50.442,144.3,505.32,0.41786,31.275,0.14503,supercritical,0.56145995677796
711.7,310.0,9677.6,0.00010333,45.497,48.7,94.927,51.25,155.36,499.94,0.40325,31.969,0.1543,supercritical,0.5413537346787867
711.7,320.0,10378.0,9.6354e-05,44.979,48.062,93.891,52.004,167.3,494.9,0.38788,32.758,0.16461,supercritical,0.5210900022913353
711.7,330.0,11137.0,8.9792e-05,44.44,47.403,92.834,52.688,179.9,490.39,0.3717,33.651,0.17599,supercritical,0.5007772591918661
711.7,340.0,11955.0,8.3648e-05,43.883,46.727,91.761,53.283,192.7,486.62,0.35471,34.66,0.18838,supercritical,0.48064839076369126
711.7,350.0,12831.0,7.7935e-05,43.311,46.039,90.681,53.772,204.96,483.86,0.33694,35.788,0.2016,supercritical,0.4609922222028058
711.7,360.0,13759.0,7.2678e-05,42.732,45.349,89.606,54.141,215.73,482.39,0.31853,37.034,0.21538,supercritical,0.44217937589353706
711.7,370.0,14727.0,6.7902e-05,42.156,44.669,88.552,54.383,223.96,482.47,0.29975,38.386,0.22935,supercritical,0.4245973744657368
